lead_id,industry,service,lead_source,budget_inr,first_response_hours,followup_count,converted,days_to_conversion
457,Logistics,Automation,WhatsApp,150000,2,5,0,
458,Manufacturing,Training/Courses,Website,25000,3,2,1,27.0
459,Manufacturing,Automation,WhatsApp,100000,9,3,0,
460,Professional Services,Training/Courses,Instagram,15000,2,2,0,
461,Retail,Training/Courses,WhatsApp,100000,3,2,1,11.0
462,Retail,Mobile App,LinkedIn,150000,3,0,0,
463,Education,Training/Courses,Instagram,100000,10,0,0,
464,Real Estate,Data Analytics,Email,35000,9,4,0,
465,Logistics,Training/Courses,Cold Outreach,100000,2,3,0,
466,CA/Accounting,Website Development,Website,250000,8,2,0,
467,CA/Accounting,E-commerce Development,Cold Outreach,35000,10,1,1,15.0
468,Professional Services,Training/Courses,Website,150000,12,4,0,
469,Education,AI/ML Solution,WhatsApp,75000,2,4,0,
470,Healthcare,Automation,Website,100000,13,2,0,
471,Real Estate,E-commerce Development,Instagram,35000,8,1,0,
472,CA/Accounting,Mobile App,WhatsApp,75000,13,4,0,
473,Education,Mobile App,WhatsApp,25000,8,2,0,
474,Retail,Website Development,LinkedIn,250000,12,0,1,43.0
475,Retail,AI/ML Solution,Email,50000,13,2,0,
476,E-commerce,Training/Courses,Website,15000,5,1,1,29.0
477,Hospitality,E-commerce Development,Cold Outreach,150000,6,3,1,45.0
478,Healthcare,Training/Courses,Website,50000,13,1,0,
479,Manufacturing,E-commerce Development,WhatsApp,25000,7,1,1,45.0
480,Retail,Data Analytics,Instagram,75000,5,5,0,
481,Healthcare,Mobile App,Cold Outreach,35000,2,3,0,
482,Healthcare,E-commerce Development,Email,15000,13,4,0,
483,Logistics,AI/ML Solution,Referral,100000,2,4,0,
484,Education,AI/ML Solution,Referral,250000,1,0,0,
485,Education,E-commerce Development,Website,35000,2,3,1,37.0
486,Retail,Mobile App,Instagram,150000,6,2,0,
487,Hospitality,AI/ML Solution,LinkedIn,75000,10,0,0,
488,Retail,Chatbot,Email,75000,12,3,1,39.0
489,CA/Accounting,Automation,LinkedIn,50000,13,5,0,
490,Manufacturing,Automation,WhatsApp,15000,4,1,0,
491,Education,Training/Courses,Referral,25000,1,3,1,12.0
492,Education,Training/Courses,WhatsApp,25000,6,0,1,20.0
493,E-commerce,Website Development,Instagram,100000,2,5,0,
494,Healthcare,Mobile App,Cold Outreach,150000,13,3,0,
495,Hospitality,AI/ML Solution,Cold Outreach,250000,3,3,0,
496,Retail,Website Development,Email,25000,7,4,1,8.0
497,CA/Accounting,Automation,LinkedIn,15000,3,2,0,
498,CA/Accounting,Mobile App,Email,75000,10,1,0,
499,E-commerce,Mobile App,Referral,150000,13,3,0,
500,Retail,AI/ML Solution,Instagram,25000,13,0,0,
